name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,total_power,is_high_power,primary_type_dark,primary_type_dragon,primary_type_electric,primary_type_fairy,primary_type_fighting,primary_type_fire,primary_type_ghost,primary_type_grass,primary_type_ground,primary_type_ice,primary_type_normal,primary_type_poison,primary_type_psychic,primary_type_rock,primary_type_water
sandslash,10,295,158,75,100,110,45,55,65,450,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nidoran-f,4,70,55,55,47,52,40,40,41,275,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nidorina,8,200,128,70,62,67,55,55,56,365,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nidoqueen,13,600,227,90,92,87,75,85,76,505,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nidoran-m,5,90,55,46,57,40,40,40,50,273,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nidorino,9,195,128,61,72,57,55,55,65,365,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nidoking,14,620,227,81,102,77,85,75,85,505,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
clefairy,6,75,113,70,45,48,60,65,35,323,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
clefable,13,400,217,95,70,73,95,90,60,483,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vulpix,6,99,60,38,41,40,50,65,65,299,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ninetales,11,199,177,73,76,75,81,100,100,505,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
jigglypuff,5,55,95,115,45,20,45,25,20,270,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wigglytuff,10,120,196,140,70,45,85,50,45,435,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
zubat,8,75,49,40,45,35,30,40,55,245,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
golbat,16,550,159,75,80,70,65,75,90,455,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
oddish,5,54,64,45,50,55,75,65,30,320,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gloom,8,86,138,60,65,70,85,75,40,395,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
vileplume,12,186,221,75,80,85,110,90,50,490,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
paras,3,54,57,35,70,55,45,55,25,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parasect,10,295,142,60,95,80,60,80,30,405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
venonat,10,300,61,60,55,50,40,55,45,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
venomoth,15,125,158,70,65,60,90,75,90,450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diglett,2,8,53,10,55,25,35,45,95,265,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dugtrio,7,333,149,35,100,50,50,70,120,425,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
meowth,4,42,58,40,45,35,40,40,90,290,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
persian,10,320,154,65,70,60,65,65,115,440,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
psyduck,8,196,64,50,52,48,65,50,55,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
golduck,17,766,175,80,82,78,95,80,85,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mankey,5,280,61,40,80,35,35,45,70,305,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
primeape,10,320,159,65,105,60,60,70,95,455,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
growlithe,7,190,70,55,70,45,70,50,60,350,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
arcanine,19,1550,194,90,110,80,100,80,95,555,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
poliwag,6,124,60,40,50,40,40,40,90,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
poliwhirl,10,200,135,65,65,65,50,50,90,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
poliwrath,13,540,230,90,95,95,70,90,70,510,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abra,9,195,62,25,20,15,105,55,90,310,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kadabra,13,565,140,40,35,30,120,70,105,400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
alakazam,15,480,225,55,50,45,135,95,120,500,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
machop,8,195,61,70,80,50,35,35,35,305,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
machoke,15,705,142,80,100,70,50,60,45,405,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
machamp,16,1300,227,90,130,80,65,85,55,505,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bellsprout,7,40,60,50,75,35,70,30,40,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
weepinbell,10,64,137,65,90,50,85,45,55,390,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
victreebel,17,155,221,80,105,65,100,70,70,490,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tentacool,9,455,67,40,40,35,50,100,70,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tentacruel,16,550,180,80,70,65,80,120,100,515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
geodude,4,200,60,40,80,100,30,30,20,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
graveler,10,1050,137,55,95,115,45,45,35,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
golem,14,3000,223,80,120,130,55,65,45,495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ponyta,10,300,82,50,85,55,65,65,90,410,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rapidash,17,950,175,65,100,70,80,80,105,500,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
slowpoke,12,360,63,90,65,65,40,40,15,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
slowbro,16,785,172,95,75,110,100,80,30,490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
magnemite,3,60,65,25,35,70,95,55,45,325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
magneton,10,600,163,50,60,95,120,70,70,465,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
farfetchd,8,150,132,52,90,55,58,62,60,377,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
doduo,14,392,62,35,85,45,35,35,75,310,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dodrio,18,852,165,60,110,70,60,60,110,470,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
seel,11,900,65,65,45,55,45,70,45,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dewgong,17,1200,166,90,70,80,70,95,70,475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
grimer,9,300,65,80,80,50,40,50,25,325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
muk,12,300,175,105,105,75,65,100,50,500,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
shellder,3,40,61,30,65,100,45,25,40,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cloyster,15,1325,184,50,95,180,85,45,70,525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gastly,13,1,62,30,35,30,100,35,80,310,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
haunter,16,1,142,45,50,45,115,55,95,405,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gengar,15,405,225,60,65,60,130,75,110,500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
onix,88,2100,77,35,45,160,30,45,70,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
drowzee,10,324,66,60,48,45,43,90,42,328,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hypno,16,756,169,85,73,70,73,115,67,483,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
krabby,4,65,65,30,105,90,25,25,50,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kingler,13,600,166,55,130,115,50,50,75,475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
voltorb,5,104,66,40,30,50,55,55,100,330,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
electrode,12,666,172,60,50,70,80,80,150,490,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
exeggcute,4,25,65,60,40,80,60,45,40,325,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
exeggutor,20,1200,186,95,95,85,125,75,55,530,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cubone,4,65,64,50,50,95,40,50,35,320,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
marowak,10,450,149,60,80,110,50,80,45,425,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hitmonlee,15,498,159,50,120,53,35,110,87,455,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hitmonchan,14,502,159,50,105,79,35,110,76,455,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lickitung,12,655,77,90,55,75,60,75,30,385,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
koffing,6,10,68,40,65,95,60,45,35,340,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
weezing,12,95,172,65,90,120,85,70,60,490,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
rhyhorn,10,1150,69,80,85,95,30,30,25,345,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
rhydon,19,1200,170,105,130,120,45,45,40,485,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chansey,11,346,395,250,5,5,35,105,50,450,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tangela,10,350,87,65,55,115,100,40,60,435,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kangaskhan,22,800,172,105,95,80,40,80,90,490,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
horsea,4,80,59,30,40,70,70,25,60,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
seadra,12,250,154,55,65,95,95,45,85,440,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
goldeen,6,150,64,45,67,60,35,50,63,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
seaking,13,390,158,80,92,65,65,80,68,450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
staryu,8,345,68,30,45,55,70,55,85,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
starmie,11,800,182,60,75,85,100,85,115,520,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mr-mime,13,545,161,40,45,65,100,120,90,460,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
scyther,15,560,100,70,110,80,55,80,105,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jynx,14,406,159,65,50,35,115,95,95,455,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
electabuzz,11,300,172,65,83,57,95,85,105,490,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
magmar,13,445,173,65,95,57,100,85,93,495,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pinsir,15,550,175,65,125,100,55,70,85,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tauros,14,884,172,75,100,95,40,70,110,490,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
magikarp,9,100,40,20,10,55,15,20,80,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gyarados,65,2350,189,95,125,79,60,100,81,540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
lapras,25,2200,187,130,85,80,85,95,60,535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ditto,3,40,101,48,48,48,48,48,48,288,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
eevee,3,65,65,55,55,50,45,65,55,325,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
vaporeon,10,290,184,130,65,60,110,95,65,525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jolteon,8,245,184,65,65,60,110,95,130,525,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
flareon,9,250,184,65,130,60,95,110,65,525,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
porygon,8,365,79,65,60,70,85,75,40,395,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
omanyte,4,75,71,35,40,100,90,55,35,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
omastar,10,350,173,70,60,125,115,70,55,495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
kabuto,5,115,71,30,80,90,55,45,55,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
kabutops,13,405,173,60,115,105,65,70,80,495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
aerodactyl,18,590,180,80,105,65,60,75,130,515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
snorlax,21,4600,189,160,110,65,65,110,30,540,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
articuno,17,554,261,90,85,100,95,125,85,580,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
zapdos,16,526,261,90,90,85,125,90,100,580,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
moltres,20,600,261,90,100,90,125,85,90,580,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dratini,18,33,60,41,64,45,50,50,50,300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dragonair,40,165,147,61,84,65,70,70,70,420,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dragonite,22,2100,270,91,134,95,100,100,80,600,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mewtwo,20,1220,306,106,110,90,154,90,130,680,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mew,4,40,270,100,100,100,100,100,100,600,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
chikorita,9,64,64,45,49,65,49,65,45,318,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bayleef,12,158,142,60,62,80,63,80,60,405,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
meganium,18,1005,236,80,82,100,83,100,80,525,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cyndaquil,5,79,62,39,52,43,60,50,65,309,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
quilava,9,190,142,58,64,58,80,65,80,405,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
typhlosion,17,795,240,78,84,78,109,85,100,534,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
totodile,6,95,63,50,65,64,44,48,43,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
croconaw,11,250,142,65,80,80,59,63,58,405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
feraligatr,23,888,239,85,105,100,79,83,78,530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sentret,8,60,43,35,46,34,35,45,20,215,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
furret,18,325,145,85,76,64,45,55,90,415,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hoothoot,7,212,52,60,30,30,36,56,50,262,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
noctowl,16,408,158,100,50,50,86,96,70,452,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ledyba,10,108,53,40,20,30,40,80,55,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ledian,14,356,137,55,35,50,55,110,85,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spinarak,5,85,50,40,60,40,40,40,30,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ariados,11,335,140,70,90,70,60,70,40,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crobat,18,750,241,85,90,80,70,80,130,535,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
chinchou,5,120,66,75,38,38,56,56,67,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
lanturn,12,225,161,125,58,58,76,76,67,460,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pichu,3,20,41,20,40,15,35,35,60,205,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cleffa,3,30,44,50,25,28,45,55,15,218,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
igglybuff,3,10,42,90,30,15,40,20,15,210,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
togepi,3,15,49,35,20,65,40,65,20,245,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
togetic,6,32,142,55,40,85,80,105,40,405,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
natu,2,20,64,40,50,45,70,45,70,320,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
xatu,15,150,165,65,75,70,95,70,95,470,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mareep,6,78,56,55,40,40,65,45,35,280,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
flaaffy,8,133,128,70,55,55,80,60,45,365,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ampharos,14,615,230,90,75,85,115,90,55,510,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bellossom,4,58,221,75,80,95,90,100,50,490,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
marill,4,85,88,70,20,50,20,50,40,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
azumarill,8,285,189,100,50,80,60,80,50,420,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sudowoodo,12,380,144,70,100,115,30,65,30,410,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
politoed,11,339,225,90,75,75,90,100,70,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hoppip,4,5,50,35,35,40,35,55,50,250,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
skiploom,6,10,119,55,45,50,45,65,80,340,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jumpluff,8,30,207,75,55,70,55,95,110,460,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
aipom,8,115,72,55,70,55,40,55,85,360,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sunkern,3,18,36,30,30,30,30,30,30,180,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sunflora,8,85,149,75,75,55,105,85,30,425,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yanma,12,380,78,65,65,45,75,45,95,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wooper,4,85,42,55,45,45,25,25,15,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
quagsire,14,750,151,95,85,85,65,65,35,430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
espeon,9,265,184,65,65,60,130,95,110,525,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
umbreon,10,270,184,95,65,110,60,130,65,525,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murkrow,5,21,81,60,85,42,85,42,91,405,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slowking,20,795,172,95,75,80,100,110,30,490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
misdreavus,7,10,87,60,60,60,85,85,85,435,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
