name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,primary_type
diglett,2,8,53,10,55,25,35,45,95,ground
dugtrio,7,333,149,35,100,50,50,70,120,ground
meowth,4,42,58,40,45,35,40,40,90,normal
persian,10,320,154,65,70,60,65,65,115,normal
psyduck,8,196,64,50,52,48,65,50,55,water
golduck,17,766,175,80,82,78,95,80,85,water
mankey,5,280,61,40,80,35,35,45,70,fighting
primeape,10,320,159,65,105,60,60,70,95,fighting
growlithe,7,190,70,55,70,45,70,50,60,fire
arcanine,19,1550,194,90,110,80,100,80,95,fire
poliwag,6,124,60,40,50,40,40,40,90,water
poliwhirl,10,200,135,65,65,65,50,50,90,water
poliwrath,13,540,230,90,95,95,70,90,70,water
abra,9,195,62,25,20,15,105,55,90,psychic
kadabra,13,565,140,40,35,30,120,70,105,psychic
alakazam,15,480,225,55,50,45,135,95,120,psychic
machop,8,195,61,70,80,50,35,35,35,fighting
machoke,15,705,142,80,100,70,50,60,45,fighting
machamp,16,1300,227,90,130,80,65,85,55,fighting
bellsprout,7,40,60,50,75,35,70,30,40,grass
weepinbell,10,64,137,65,90,50,85,45,55,grass
victreebel,17,155,221,80,105,65,100,70,70,grass
tentacool,9,455,67,40,40,35,50,100,70,water
tentacruel,16,550,180,80,70,65,80,120,100,water
geodude,4,200,60,40,80,100,30,30,20,rock
graveler,10,1050,137,55,95,115,45,45,35,rock
golem,14,3000,223,80,120,130,55,65,45,rock
ponyta,10,300,82,50,85,55,65,65,90,fire
rapidash,17,950,175,65,100,70,80,80,105,fire
slowpoke,12,360,63,90,65,65,40,40,15,water
slowbro,16,785,172,95,75,110,100,80,30,water
magnemite,3,60,65,25,35,70,95,55,45,electric
magneton,10,600,163,50,60,95,120,70,70,electric
farfetchd,8,150,132,52,90,55,58,62,60,normal
doduo,14,392,62,35,85,45,35,35,75,normal
dodrio,18,852,165,60,110,70,60,60,110,normal
seel,11,900,65,65,45,55,45,70,45,water
dewgong,17,1200,166,90,70,80,70,95,70,water
grimer,9,300,65,80,80,50,40,50,25,poison
muk,12,300,175,105,105,75,65,100,50,poison
shellder,3,40,61,30,65,100,45,25,40,water
cloyster,15,1325,184,50,95,180,85,45,70,water
gastly,13,1,62,30,35,30,100,35,80,ghost
haunter,16,1,142,45,50,45,115,55,95,ghost
gengar,15,405,225,60,65,60,130,75,110,ghost
onix,88,2100,77,35,45,160,30,45,70,rock
drowzee,10,324,66,60,48,45,43,90,42,psychic
hypno,16,756,169,85,73,70,73,115,67,psychic
krabby,4,65,65,30,105,90,25,25,50,water
kingler,13,600,166,55,130,115,50,50,75,water
voltorb,5,104,66,40,30,50,55,55,100,electric
electrode,12,666,172,60,50,70,80,80,150,electric
exeggcute,4,25,65,60,40,80,60,45,40,grass
exeggutor,20,1200,186,95,95,85,125,75,55,grass
cubone,4,65,64,50,50,95,40,50,35,ground
marowak,10,450,149,60,80,110,50,80,45,ground
hitmonlee,15,498,159,50,120,53,35,110,87,fighting
hitmonchan,14,502,159,50,105,79,35,110,76,fighting
lickitung,12,655,77,90,55,75,60,75,30,normal
koffing,6,10,68,40,65,95,60,45,35,poison
weezing,12,95,172,65,90,120,85,70,60,poison
rhyhorn,10,1150,69,80,85,95,30,30,25,ground
rhydon,19,1200,170,105,130,120,45,45,40,ground
chansey,11,346,395,250,5,5,35,105,50,normal
tangela,10,350,87,65,55,115,100,40,60,grass
kangaskhan,22,800,172,105,95,80,40,80,90,normal
horsea,4,80,59,30,40,70,70,25,60,water
seadra,12,250,154,55,65,95,95,45,85,water
goldeen,6,150,64,45,67,60,35,50,63,water
seaking,13,390,158,80,92,65,65,80,68,water
staryu,8,345,68,30,45,55,70,55,85,water
starmie,11,800,182,60,75,85,100,85,115,water
mr-mime,13,545,161,40,45,65,100,120,90,psychic
scyther,15,560,100,70,110,80,55,80,105,bug
jynx,14,406,159,65,50,35,115,95,95,ice
electabuzz,11,300,172,65,83,57,95,85,105,electric
magmar,13,445,173,65,95,57,100,85,93,fire
pinsir,15,550,175,65,125,100,55,70,85,bug
tauros,14,884,172,75,100,95,40,70,110,normal
magikarp,9,100,40,20,10,55,15,20,80,water
gyarados,65,2350,189,95,125,79,60,100,81,water
lapras,25,2200,187,130,85,80,85,95,60,water
ditto,3,40,101,48,48,48,48,48,48,normal
eevee,3,65,65,55,55,50,45,65,55,normal
vaporeon,10,290,184,130,65,60,110,95,65,water
jolteon,8,245,184,65,65,60,110,95,130,electric
flareon,9,250,184,65,130,60,95,110,65,fire
porygon,8,365,79,65,60,70,85,75,40,normal
omanyte,4,75,71,35,40,100,90,55,35,rock
omastar,10,350,173,70,60,125,115,70,55,rock
kabuto,5,115,71,30,80,90,55,45,55,rock
kabutops,13,405,173,60,115,105,65,70,80,rock
aerodactyl,18,590,180,80,105,65,60,75,130,rock
snorlax,21,4600,189,160,110,65,65,110,30,normal
articuno,17,554,261,90,85,100,95,125,85,ice
zapdos,16,526,261,90,90,85,125,90,100,electric
moltres,20,600,261,90,100,90,125,85,90,fire
dratini,18,33,60,41,64,45,50,50,50,dragon
dragonair,40,165,147,61,84,65,70,70,70,dragon
dragonite,22,2100,270,91,134,95,100,100,80,dragon
mewtwo,20,1220,306,106,110,90,154,90,130,psychic
mew,4,40,270,100,100,100,100,100,100,psychic
chikorita,9,64,64,45,49,65,49,65,45,grass
bayleef,12,158,142,60,62,80,63,80,60,grass
meganium,18,1005,236,80,82,100,83,100,80,grass
cyndaquil,5,79,62,39,52,43,60,50,65,fire
quilava,9,190,142,58,64,58,80,65,80,fire
typhlosion,17,795,240,78,84,78,109,85,100,fire
totodile,6,95,63,50,65,64,44,48,43,water
croconaw,11,250,142,65,80,80,59,63,58,water
feraligatr,23,888,239,85,105,100,79,83,78,water
sentret,8,60,43,35,46,34,35,45,20,normal
furret,18,325,145,85,76,64,45,55,90,normal
hoothoot,7,212,52,60,30,30,36,56,50,normal
noctowl,16,408,158,100,50,50,86,96,70,normal
ledyba,10,108,53,40,20,30,40,80,55,bug
ledian,14,356,137,55,35,50,55,110,85,bug
spinarak,5,85,50,40,60,40,40,40,30,bug
ariados,11,335,140,70,90,70,60,70,40,bug
crobat,18,750,241,85,90,80,70,80,130,poison
chinchou,5,120,66,75,38,38,56,56,67,water
lanturn,12,225,161,125,58,58,76,76,67,water
pichu,3,20,41,20,40,15,35,35,60,electric
cleffa,3,30,44,50,25,28,45,55,15,fairy
igglybuff,3,10,42,90,30,15,40,20,15,normal
togepi,3,15,49,35,20,65,40,65,20,fairy
togetic,6,32,142,55,40,85,80,105,40,fairy
natu,2,20,64,40,50,45,70,45,70,psychic
xatu,15,150,165,65,75,70,95,70,95,psychic
mareep,6,78,56,55,40,40,65,45,35,electric
flaaffy,8,133,128,70,55,55,80,60,45,electric
ampharos,14,615,230,90,75,85,115,90,55,electric
bellossom,4,58,221,75,80,95,90,100,50,grass
marill,4,85,88,70,20,50,20,50,40,water
azumarill,8,285,189,100,50,80,60,80,50,water
sudowoodo,12,380,144,70,100,115,30,65,30,rock
politoed,11,339,225,90,75,75,90,100,70,water
hoppip,4,5,50,35,35,40,35,55,50,grass
skiploom,6,10,119,55,45,50,45,65,80,grass
jumpluff,8,30,207,75,55,70,55,95,110,grass
aipom,8,115,72,55,70,55,40,55,85,normal
sunkern,3,18,36,30,30,30,30,30,30,grass
sunflora,8,85,149,75,75,55,105,85,30,grass
yanma,12,380,78,65,65,45,75,45,95,bug
wooper,4,85,42,55,45,45,25,25,15,water
quagsire,14,750,151,95,85,85,65,65,35,water
espeon,9,265,184,65,65,60,130,95,110,psychic
umbreon,10,270,184,95,65,110,60,130,65,dark
murkrow,5,21,81,60,85,42,85,42,91,dark
slowking,20,795,172,95,75,80,100,110,30,water
misdreavus,7,10,87,60,60,60,85,85,85,ghost
